2026-01-29 04:44:36,566 - spark_streaming - INFO - ============================================================
2026-01-29 04:44:36,567 - spark_streaming - INFO - Starting E-commerce Event Streaming Job
2026-01-29 04:44:36,568 - spark_streaming - INFO - ============================================================
2026-01-29 04:44:36,574 - spark_streaming - INFO - Waiting for PostgreSQL to be available...
2026-01-29 04:44:36,589 - spark_streaming - INFO - PostgreSQL connection established
2026-01-29 04:44:36,590 - spark_streaming - INFO - Creating Spark session: EcommerceEventStreaming
2026-01-29 04:44:42,365 - spark_streaming - INFO - Spark session created successfully
2026-01-29 04:44:42,367 - spark_streaming - INFO - Setting up file stream from: /data/incoming
2026-01-29 04:44:43,245 - spark_streaming - INFO - File stream configured successfully
2026-01-29 04:44:44,101 - spark_streaming - INFO - Starting streaming query with trigger: 10 seconds
2026-01-29 04:44:44,575 - spark_streaming - INFO - Streaming query started successfully
2026-01-29 04:44:44,578 - spark_streaming - INFO - Spark UI available at: http://localhost:4040
2026-01-29 04:44:48,977 - spark_streaming - INFO - Batch 0: Processed 20 records, inserted 20 in 2.56s
2026-01-29 04:44:50,399 - spark_streaming - INFO - Batch 1: Processed 10 records, inserted 10 in 0.11s
2026-01-29 04:45:00,319 - spark_streaming - INFO - Batch 2: Processed 20 records, inserted 20 in 0.09s
2026-01-29 04:45:10,284 - spark_streaming - INFO - Batch 3: Processed 20 records, inserted 20 in 0.08s
2026-01-29 04:45:20,278 - spark_streaming - INFO - Batch 4: Processed 20 records, inserted 20 in 0.08s
2026-01-29 04:45:30,247 - spark_streaming - INFO - Batch 5: Processed 20 records, inserted 20 in 0.07s
2026-01-29 04:45:40,271 - spark_streaming - INFO - Batch 6: Processed 20 records, inserted 20 in 0.10s
2026-01-29 04:45:50,247 - spark_streaming - INFO - Batch 7: Processed 20 records, inserted 20 in 0.08s
2026-01-29 04:46:00,239 - spark_streaming - INFO - Batch 8: Processed 20 records, inserted 20 in 0.07s
2026-01-29 04:46:10,267 - spark_streaming - INFO - Batch 9: Processed 20 records, inserted 20 in 0.09s
2026-01-29 04:46:20,246 - spark_streaming - INFO - Batch 10: Processed 20 records, inserted 20 in 0.08s
2026-01-29 04:46:30,233 - spark_streaming - INFO - Batch 11: Processed 20 records, inserted 20 in 0.08s
2026-01-29 04:46:40,243 - spark_streaming - INFO - Batch 12: Processed 20 records, inserted 20 in 0.08s
2026-01-29 04:46:50,212 - spark_streaming - INFO - Batch 13: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:47:00,200 - spark_streaming - INFO - Batch 14: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:47:10,220 - spark_streaming - INFO - Batch 15: Processed 20 records, inserted 20 in 0.07s
2026-01-29 04:47:20,197 - spark_streaming - INFO - Batch 16: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:47:30,200 - spark_streaming - INFO - Batch 17: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:47:40,209 - spark_streaming - INFO - Batch 18: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:47:50,213 - spark_streaming - INFO - Batch 19: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:48:00,194 - spark_streaming - INFO - Batch 20: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:48:10,217 - spark_streaming - INFO - Batch 21: Processed 20 records, inserted 20 in 0.07s
2026-01-29 04:48:20,251 - spark_streaming - INFO - Batch 22: Processed 20 records, inserted 20 in 0.07s
2026-01-29 04:48:30,186 - spark_streaming - INFO - Batch 23: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:48:40,208 - spark_streaming - INFO - Batch 24: Processed 20 records, inserted 20 in 0.07s
2026-01-29 04:48:50,251 - spark_streaming - INFO - Batch 25: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:49:00,196 - spark_streaming - INFO - Batch 26: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:49:10,187 - spark_streaming - INFO - Batch 27: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:49:20,187 - spark_streaming - INFO - Batch 28: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:49:30,203 - spark_streaming - INFO - Batch 29: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:49:40,197 - spark_streaming - INFO - Batch 30: Processed 20 records, inserted 20 in 0.07s
2026-01-29 04:49:50,208 - spark_streaming - INFO - Batch 31: Processed 20 records, inserted 20 in 0.07s
2026-01-29 04:50:00,212 - spark_streaming - INFO - Batch 32: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:50:10,195 - spark_streaming - INFO - Batch 33: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:50:20,177 - spark_streaming - INFO - Batch 34: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:50:30,224 - spark_streaming - INFO - Batch 35: Processed 20 records, inserted 20 in 0.09s
2026-01-29 04:50:40,164 - spark_streaming - INFO - Batch 36: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:50:50,173 - spark_streaming - INFO - Batch 37: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:51:00,182 - spark_streaming - INFO - Batch 38: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:51:10,196 - spark_streaming - INFO - Batch 39: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:51:20,210 - spark_streaming - INFO - Batch 40: Processed 20 records, inserted 20 in 0.07s
2026-01-29 04:51:30,181 - spark_streaming - INFO - Batch 41: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:51:40,167 - spark_streaming - INFO - Batch 42: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:51:50,197 - spark_streaming - INFO - Batch 43: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:52:00,168 - spark_streaming - INFO - Batch 44: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:52:10,161 - spark_streaming - INFO - Batch 45: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:52:20,185 - spark_streaming - INFO - Batch 46: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:52:30,232 - spark_streaming - INFO - Batch 47: Processed 20 records, inserted 20 in 0.07s
2026-01-29 04:52:40,174 - spark_streaming - INFO - Batch 48: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:52:50,188 - spark_streaming - INFO - Batch 49: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:53:00,186 - spark_streaming - INFO - Batch 50: Processed 20 records, inserted 20 in 0.06s
2026-01-29 04:53:10,162 - spark_streaming - INFO - Batch 51: Processed 20 records, inserted 20 in 0.05s
2026-01-29 04:53:20,157 - spark_streaming - INFO - Batch 52: Processed 20 records, inserted 20 in 0.05s
